No.;Time;Comment;Scramble;Date;P.1
79;13.55;; (1,0)/ (0,-3)/ (2,5)/ (3,0)/ (-2,-5)/ (-3,-3)/ (5,0)/ (3,0)/ (-5,-4)/ (3,-2)/ (-2,0)/ (5,0)/ (-4,-3);2026-01-01 15:43:21;13.55
80;12.14;; (4,0)/ (0,3)/ (5,5)/ (0,-3)/ (-2,-5)/ (-4,-4)/ (1,0)/ (0,-3)/ (3,-2)/ (2,0)/ (-4,-2)/ (3,0)/ (6,0);2026-01-01 15:43:48;12.14
81;14.70;; (4,0)/ (0,6)/ (-1,5)/ (-3,0)/ (1,-2)/ (0,-3)/ (0,-4)/ (0,-3)/ (0,-2)/ (5,0)/ (-3,0)/ (0,-2)/ (-4,-2)/ (-3,0)/;2026-01-01 15:44:17;14.70
82;16.35;; (0,5)/ (-3,-3)/ (1,4)/ (-1,-1)/ (-3,0)/ (0,-3)/ (0,-2)/ (-3,0)/ (0,-1)/ (2,-2)/ (5,0)/ (-2,0)/ (-1,0)/;2026-01-01 15:44:47;16.35
83;18.16;; (-5,0)/ (-1,-4)/ (1,4)/ (2,-1)/ (0,-3)/ (-3,0)/ (0,-5)/ (0,-3)/ (0,-1)/ (-5,0)/ (6,-4)/ (-4,0)/ (0,-5);2026-01-01 15:45:21;18.16
84;12.48;; (-2,0)/ (6,-3)/ (3,0)/ (-4,-4)/ (-3,0)/ (1,-2)/ (0,-1)/ (3,0)/ (0,-3)/ (-2,-3)/ (0,-4)/ (-2,-3);2026-01-01 15:45:53;12.48
85;11.98;; (-2,3)/ (0,-3)/ (-1,-4)/ (1,-2)/ (-3,-1)/ (0,-3)/ (-1,0)/ (0,-4)/ (4,-2)/ (0,-4)/ (6,-3);2026-01-01 15:46:25;11.98
86;12.72;; (-5,3)/ (3,0)/ (-4,5)/ (3,0)/ (3,0)/ (-2,-5)/ (-4,0)/ (3,0)/ (3,0)/ (-2,0)/ (-2,-4)/ (0,-3)/ (6,0)/;2026-01-01 15:46:50;12.72
87;16.67;; (-5,3)/ (-4,-4)/ (0,-3)/ (4,-5)/ (-3,0)/ (3,0)/ (-4,0)/ (0,-3)/ (-2,-3)/ (2,-2)/ (0,-2)/ (-5,-2)/;2026-01-01 15:52:13;16.67
88;11.92;; (-5,0)/ (2,-4)/ (-5,4)/ (-1,-4)/ (-3,0)/ (3,-2)/ (0,-3)/ (3,0)/ (6,-5)/ (0,-1)/ (2,0)/ (0,-2);2026-01-01 15:52:42;11.92
89;12.30;; (0,5)/ (-5,-2)/ (-3,0)/ (3,0)/ (0,-3)/ (0,-3)/ (-3,0)/ (0,-1)/ (3,0)/ (-4,-5)/ (0,-2)/ (0,-4)/ (0,-2);2026-01-01 15:53:24;12.30
90;14.67;; (0,-1)/ (6,-3)/ (-2,-5)/ (-3,0)/ (0,-3)/ (0,-3)/ (-4,0)/ (3,0)/ (1,0)/ (4,0)/ (6,-4)/ (3,0);2026-01-01 15:53:48;14.67
91;28.62;; (0,5)/ (-3,0)/ (-5,1)/ (2,-4)/ (0,-3)/ (1,-5)/ (2,0)/ (3,0)/ (0,-4)/ (-5,0)/ (0,-2)/ (2,-3)/ (1,0)/ (2,0);2026-01-01 15:54:18;28.62
92;12.72;; (-3,2)/ (3,6)/ (-5,-2)/ (-3,0)/ (2,-4)/ (0,-2)/ (-3,0)/ (0,-3)/ (4,0)/ (4,0)/ (0,-4)/ (-5,0)/ (0,-2)/;2026-01-01 15:55:48;12.72
93;16.85;; (-5,0)/ (3,3)/ (-1,-4)/ (6,-3)/ (1,0)/ (-3,0)/ (0,-3)/ (-5,0)/ (2,-2)/ (2,-3)/ (0,-2)/ (-4,-3);2026-01-01 15:56:13;16.85
94;13.16;; (4,-3)/ (3,0)/ (-1,2)/ (-3,0)/ (3,0)/ (0,-3)/ (1,0)/ (3,0)/ (3,0)/ (-1,-3)/ (-5,0)/ (2,0)/ (3,-2);2026-01-01 15:56:44;13.16
95;13.73;; (0,5)/ (3,0)/ (4,-2)/ (3,0)/ (2,-1)/ (1,-5)/ (-1,0)/ (-3,0)/ (-2,-1)/ (4,0)/ (-3,0)/ (0,-5);2026-01-01 15:57:11;13.73
96;19.75;; (1,0)/ (-4,-1)/ (4,-5)/ (5,-4)/ (3,-5)/ (-3,0)/ (4,-1)/ (-4,0)/ (4,-3)/ (0,-4)/;2026-01-01 15:57:40;19.75
97;10.77;; (3,-4)/ (1,-2)/ (-3,0)/ (5,-1)/ (0,-3)/ (0,-3)/ (0,-2)/ (3,0)/ (1,-3)/ (0,-1)/ (-2,0)/ (6,0);2026-01-01 15:58:11;10.77
98;18.89;; (3,2)/ (-3,0)/ (-5,4)/ (-1,-4)/ (4,-2)/ (2,-3)/ (0,-3)/ (6,0)/ (-4,0)/ (-5,0)/ (-4,0)/ (0,-3)/ (4,0);2026-01-01 15:58:38;18.89
99;15.95;; (0,-1)/ (3,6)/ (-5,-2)/ (5,-4)/ (1,-2)/ (0,-1)/ (-3,0)/ (-1,-2)/ (-2,0)/ (1,-4)/ (1,-4);2026-01-01 15:59:38;15.95
100;12.80;; (0,5)/ (4,-2)/ (0,-3)/ (6,-3)/ (-3,0)/ (2,-1)/ (-5,0)/ (3,0)/ (6,-3)/ (3,-4)/ (0,-5)/ (0,-2)/ (-2,0);2026-01-01 16:00:09;12.80
101;16.35;; (0,-1)/ (0,-3)/ (0,-3)/ (3,0)/ (3,0)/ (6,0)/ (-2,-2)/ (0,-1)/ (3,0)/ (-4,0)/ (-3,0)/ (2,-2)/ (2,0)/ (6,-1);2026-01-01 16:04:43;16.35
102;14.71;; (3,2)/ (4,-5)/ (2,-4)/ (1,-5)/ (-1,-4)/ (0,-5)/ (0,-3)/ (4,-3)/ (0,-3)/ (5,0)/ (-4,0)/ (3,0)/ (0,-3);2026-01-01 16:05:15;14.71
103;15.78;; (0,5)/ (-2,-2)/ (0,6)/ (-3,0)/ (5,-4)/ (6,-3)/ (0,-2)/ (-3,0)/ (-3,0)/ (-3,-3)/ (4,0)/ (-2,0)/;2026-01-01 16:05:44;15.78
104;21.16;; (0,2)/ (1,-5)/ (2,-4)/ (4,-5)/ (5,-4)/ (-3,-2)/ (6,-3)/ (-4,-3)/ (2,0)/ (4,0)/ (-4,0)/ (4,-5);2026-01-01 16:06:18;21.16
105;19.89;; (-5,0)/ (-3,0)/ (3,0)/ (5,-1)/ (-5,-5)/ (-4,0)/ (0,-3)/ (0,-3)/ (3,-2)/ (5,-2)/ (-1,0)/;2026-01-01 16:07:01;19.89
106;17.54;; (0,-1)/ (4,-2)/ (-3,6)/ (-3,0)/ (5,-4)/ (-2,0)/ (0,-3)/ (5,0)/ (0,-2)/ (-4,0)/ (-5,0)/ (-4,0)/ (-2,0)/;2026-01-01 16:07:37;17.54
107;17.48;; (4,0)/ (5,-4)/ (-2,1)/ (5,-4)/ (-3,0)/ (0,-3)/ (-5,0)/ (0,-3)/ (3,0)/ (0,-4)/ (2,-2)/ (0,-4)/ (0,-4)/ (0,-5);2026-01-01 16:08:31;17.48
108;13.87;; (-5,3)/ (-3,3)/ (2,-1)/ (6,-3)/ (0,-3)/ (-5,0)/ (-3,-3)/ (1,0)/ (0,-2)/ (-2,0)/ (6,-2);2026-01-01 16:09:23;13.87
109;20.37;; (4,-3)/ (2,-4)/ (-3,0)/ (0,-3)/ (-5,-2)/ (-3,0)/ (0,-4)/ (0,-3)/ (-3,0)/ (-3,0)/ (6,-4)/ (2,0)/ (6,-4)/;2026-01-01 16:10:22;20.37
110;21.14;; (4,0)/ (0,3)/ (0,-3)/ (-3,0)/ (3,0)/ (2,-4)/ (-3,0)/ (0,-5)/ (6,-3)/ (0,-3)/ (-4,0)/ (0,-2)/ (-4,0)/ (0,-4)/ (-3,0);2026-01-01 16:10:57;21.14
111;15.54;; (1,-3)/ (2,5)/ (-2,-5)/ (0,-3)/ (-3,-3)/ (-1,-3)/ (3,0)/ (1,0)/ (-2,0)/ (-4,-4)/ (3,0)/ (4,0);2026-01-01 16:11:31;15.54
112;15.03;; (-3,-1)/ (-2,1)/ (0,-3)/ (6,-3)/ (0,-3)/ (-4,0)/ (0,-3)/ (4,-1)/ (4,0)/ (3,-4)/ (0,-4)/ (-3,0)/;2026-01-01 16:12:19;15.03
113;16.46;; (0,2)/ (1,1)/ (3,0)/ (3,0)/ (6,0)/ (0,-3)/ (-3,0)/ (-4,0)/ (-3,-3)/ (6,-5)/ (4,0)/ (4,0)/ (0,-2);2026-01-01 16:12:50;16.46
114;13.65;; (0,2)/ (-3,3)/ (-5,4)/ (-3,0)/ (3,0)/ (-3,0)/ (0,-1)/ (3,0)/ (-4,-5)/ (-3,-2)/ (3,0)/ (1,0)/ (6,-2)/;2026-01-01 16:13:22;13.65
